district_id,district,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,population_diff_2021,population_diff_2022,population_diff_2023,population_diff_2024,population_diff_2025
1,종로구,"161,984","156,567","153,684","152,212","150,550","149,478","-5,417","-2,883","-1,472","-1,662","-1,072"
2,중구,"136,469","133,708","131,450","131,390","131,812","130,418","-2,761","-2,258",-60,422,"-1,394"
3,용산구,"246,165","243,336","236,518","232,482","223,433","216,537","-2,829","-6,818","-4,036","-9,049","-6,896"
4,성동구,"307,193","298,421","291,609","287,240","284,258","281,062","-8,772","-6,812","-4,369","-2,982","-3,196"
5,광진구,"365,990","356,191","353,110","350,925","350,925","348,660","-9,799","-3,081","-2,185",0,"-2,265"
6,동대문구,"362,793","352,570","352,592","354,884","360,211","361,950","-10,223",22,"2,292","5,327","1,739"
7,중랑구,"400,678","396,807","393,600","389,928","387,433","384,320","-3,871","-3,207","-3,672","-2,495","-3,113"
8,성북구,"454,532","444,295","442,680","441,855","436,901","433,569","-10,237","-1,615",-825,"-4,954","-3,332"
9,강북구,"316,750","307,537","300,824","296,934","291,372","288,797","-9,213","-6,713","-3,890","-5,562","-2,575"
10,도봉구,"333,495","323,752","318,100","312,858","308,864","305,391","-9,743","-5,652","-5,242","-3,994","-3,473"
11,노원구,"535,495","522,225","514,445","506,989","501,727","495,111","-13,270","-7,780","-7,456","-5,262","-6,616"
12,은평구,"482,509","479,607","476,013","468,766","470,185","464,466","-2,902","-3,594","-7,247","1,419","-5,719"
13,서대문구,"325,875","318,814","317,075","321,966","320,378","318,085","-7,061","-1,739","4,891","-1,588","-2,293"
14,마포구,"386,086","378,216","378,629","376,542","374,962","371,852","-7,870",413,"-2,087","-1,580","-3,110"
15,양천구,"460,532","456,019","449,378","442,345","437,774","432,901","-4,513","-6,641","-7,033","-4,571","-4,873"
16,강서구,"595,703","582,804","578,426","573,711","567,159","560,094","-12,899","-4,378","-4,715","-6,552","-7,065"
17,구로구,"438,308","426,675","419,984","417,983","414,271","410,727","-11,633","-6,691","-2,001","-3,712","-3,544"
18,금천구,"251,370","244,564","244,901","242,467","240,680","238,431","-6,806",337,"-2,434","-1,787","-2,249"
19,영등포구,"404,766","403,070","400,241","398,999","397,942","396,834","-1,696","-2,829","-1,242","-1,057","-1,108"
20,동작구,"407,802","398,205","394,649","390,377","389,576","386,897","-9,597","-3,556","-4,272",-801,"-2,679"
21,관악구,"516,662","504,140","500,336","502,628","497,827","497,213","-12,522","-3,804","2,292","-4,801",-614
22,서초구,"434,801","425,103","413,677","408,979","412,275","412,715","-9,698","-11,426","-4,698","3,296",440
23,강남구,"549,898","539,538","537,338","537,817","559,720","563,189","-10,360","-2,200",479,"21,903","3,469"
24,송파구,"680,883","667,115","668,261","663,704","659,661","654,127","-13,768","1,146","-4,557","-4,043","-5,534"
25,강동구,"457,042","468,815","465,097","464,027","465,549","500,002","11,773","-3,718","-1,070","1,522","34,453"
