동별(1),동별(2),2021. 03,2021. 03,2022. 03,2022. 03,2023. 03,2023. 03,2024. 03,2024. 03,2025. 03,2025. 03
동별(1),동별(2),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명),세대 (세대),합계 (명)
합계,소계,"46,397","-185,687","51,041","-95,477","11,941","-64,609","22,434","-32,563","12,077","-32,619"
,종로구,-38,"-5,417",-347,"-2,883","-1,087","-1,472",-275,"-1,662",-17,"-1,072"
,중구,701,"-2,761",21,"-2,258",95,-60,"1,270",422,-269,"-1,394"
,용산구,"1,986","-2,829","-1,674","-6,818","-1,472","-4,036","-3,463","-9,049","-3,036","-6,896"
,성동구,240,"-8,772","-1,350","-6,812","-1,020","-4,369",-139,"-2,982","-1,121","-3,196"
,광진구,"1,351","-9,799","2,845","-3,081",304,"-2,185",770,0,82,"-2,265"
,동대문구,645,"-10,223","3,771",22,"1,445","2,292","2,870","5,327",836,"1,739"
,중랑구,"3,286","-3,871","2,187","-3,207",205,"-3,672",755,"-2,495",8,"-3,113"
,성북구,164,"-10,237","3,331","-1,615",563,-825,-414,"-4,954",-457,"-3,332"
,강북구,-395,"-9,213",315,"-6,713",-168,"-3,890","-1,219","-5,562",-89,"-2,575"
,도봉구,-475,"-9,743",716,"-5,652",-460,"-5,242",380,"-3,994",246,"-3,473"
,노원구,124,"-13,270","1,793","-7,780",-724,"-7,456",324,"-5,262",-340,"-6,616"
,은평구,"4,516","-2,902","2,453","-3,594","-1,189","-7,247","2,351","1,419",-685,"-5,719"
,서대문구,"1,071","-7,061","1,864","-1,739","2,102","4,891",321,"-1,588","-1,045","-2,293"
,마포구,"1,037","-7,870","3,532",413,332,"-2,087",711,"-1,580",-588,"-3,110"
,양천구,"3,246","-4,513","1,083","-6,641",-693,"-7,033",-453,"-4,571",-486,"-4,873"
,강서구,"3,797","-12,899","5,130","-4,378","1,711","-4,715",43,"-6,552",-641,"-7,065"
,구로구,"2,752","-11,633","1,889","-6,691","2,352","-2,001",65,"-3,712",-363,"-3,544"
,금천구,"2,860","-6,806","4,295",337,"1,354","-2,434",934,"-1,787",151,"-2,249"
,영등포구,"6,390","-1,696","4,060","-2,829","2,059","-1,242","1,457","-1,057",859,"-1,108"
,동작구,"1,818","-9,597","2,840","-3,556",115,"-4,272",883,-801,333,"-2,679"
,관악구,"2,976","-12,522","5,617","-3,804","6,561","2,292",343,"-4,801","1,875",-614
,서초구,"-1,399","-9,698","-2,286","-11,426","-1,661","-4,698","2,148","3,296",428,440
,강남구,-261,"-10,360","1,249","-2,200",123,479,"8,775","21,903","1,629","3,469"
,송파구,936,"-13,768","4,869","1,146",383,"-4,557","1,563","-4,043",-141,"-5,534"
,강동구,"9,069","11,773","2,838","-3,718",711,"-1,070","2,434","1,522","14,908","34,453"
