district_id,district,car_count_2020,car_count_2021,car_count_2022,car_count_2023,car_count_2024,car_count_2025,car_diff_2021,car_diff_2022,car_diff_2023,car_diff_2024,car_diff_2025
1,종로구,"50,060","50,049","50,832","51,000","50,482","50,083",-11,783,168,-518,-399
2,중구,"51,160","53,107","60,081","57,666","54,332","51,221","1,947","6,974","-2,415","-3,334","-3,111"
3,용산구,"76,481","79,486","79,420","75,436","74,001","72,932","3,005",-66,"-3,984","-1,435","-1,069"
4,성동구,"105,530","106,435","106,035","104,782","104,641","104,230",905,-400,"-1,253",-141,-411
5,광진구,"98,772","98,658","99,126","97,936","97,218","95,888",-114,468,"-1,190",-718,"-1,330"
6,동대문구,"97,818","98,170","98,574","99,947","102,749","103,502",352,404,"1,373","2,802",753
7,중랑구,"112,117","114,237","114,961","116,523","116,575","115,735","2,120",724,"1,562",52,-840
8,성북구,"119,182","120,909","122,016","122,811","122,135","121,078","1,727","1,107",795,-676,"-1,057"
9,강북구,"76,081","75,570","75,148","75,166","74,169","73,490",-511,-422,18,-997,-679
10,도봉구,"95,851","95,462","95,573","95,623","94,946","93,928",-389,111,50,-677,"-1,018"
11,노원구,"152,168","152,701","152,305","152,633","152,155","151,000",533,-396,328,-478,"-1,155"
12,은평구,"129,263","132,052","133,291","133,469","135,047","133,936","2,789","1,239",178,"1,578","-1,111"
13,서대문구,"88,037","89,578","89,435","91,862","91,650","91,093","1,541",-143,"2,427",-212,-557
14,마포구,"118,311","119,380","121,250","122,415","121,943","121,146","1,069","1,870","1,165",-472,-797
15,양천구,"149,358","151,626","151,251","151,668","151,189","150,117","2,268",-375,417,-479,"-1,072"
16,강서구,"204,343","204,246","206,352","206,104","204,600","202,553",-97,"2,106",-248,"-1,504","-2,047"
17,구로구,"143,761","144,667","146,040","148,719","147,678","145,109",906,"1,373","2,679","-1,041","-2,569"
18,금천구,"87,448","88,945","90,508","92,223","91,975","90,451","1,497","1,563","1,715",-248,"-1,524"
19,영등포구,"142,764","146,625","145,946","144,662","144,665","143,538","3,861",-679,"-1,284",3,"-1,127"
20,동작구,"105,069","105,722","106,263","106,150","106,362","105,950",653,541,-113,212,-412
21,관악구,"119,452","118,943","118,148","118,886","117,936","116,484",-509,-795,738,-950,"-1,452"
22,서초구,"181,013","178,778","176,639","176,137","176,628","176,461","-2,235","-2,139",-502,491,-167
23,강남구,"235,194","235,796","240,480","250,445","256,099","253,796",602,"4,684","9,965","5,654","-2,303"
24,송파구,"240,974","245,565","248,750","245,597","244,079","242,083","4,591","3,185","-3,153","-1,518","-1,996"
25,강동구,"145,126","152,003","151,875","153,678","154,522","167,473","6,877",-128,"1,803",844,"12,951"
