자치구별(1),자치구별(2),2021. 03,2021. 03,2021. 03,2021. 03,2021. 03,2021. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2024. 03,2024. 03,2024. 03,2024. 03,2024. 03,2024. 03,2025. 03,2025. 03,2025. 03,2025. 03,2025. 03,2025. 03
자치구별(1),자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
자치구별(1),자치구별(2),소계,승용차,승합차,화물차,특수차,이륜차,소계,승용차,승합차,화물차,특수차,이륜차,소계,승용차,승합차,화물차,특수차,이륜차,소계,승용차,승합차,화물차,특수차,이륜차,소계,승용차,승합차,화물차,특수차,이륜차
자치구별(1),자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
서울시,종로구,-11,153,-86,-87,9,-134,783,947,-129,-76,41,-141,168,-361,-89,583,35,-135,-518,-252,-199,-77,10,-53,-399,-153,-180,-89,23,-138
,중구,"1,947","2,030",-86,9,-6,-69,"6,974","7,202",-246,2,16,-183,"-2,415","-2,370",-82,-158,195,-50,"-3,334","-3,174",21,-147,-34,149,"-3,111","-2,221",-118,-719,-53,-283
,용산구,"3,005","3,204",-112,-98,11,531,-66,285,-123,-242,14,38,"-3,984","-3,707",3,-296,16,"-1,317","-1,435","-1,106",-141,-201,13,"2,245","-1,069","-1,068",-108,78,29,450
,성동구,905,"2,399","-1,796",239,63,-116,-400,12,-303,-139,30,"-2,562","-1,253","-1,080",-135,-51,13,-258,-141,310,-67,-406,22,-277,-411,37,-199,-284,35,-258
,광진구,-114,338,-243,-224,15,386,468,593,-160,-11,46,234,"-1,190",225,-153,"-1,307",45,75,-718,-141,-170,-272,-135,201,"-1,330",-743,-239,-344,-4,261
,동대문구,352,811,-184,-305,30,367,404,786,-178,-227,23,40,"1,373","1,490",-161,-2,46,128,"2,802","3,051",-195,-87,33,197,753,"1,208",-226,-220,-9,-36
,중랑구,"2,120","2,367",-273,-25,51,510,724,"1,107",-173,-244,34,274,"1,562","1,802",-201,-58,19,109,52,442,-272,-147,29,218,-840,-267,-217,-368,12,144
,성북구,"1,727","2,122",-264,-159,28,212,"1,107","1,433",-275,-92,41,"-2,681",795,"1,078",-184,-130,31,-174,-676,-307,-182,-197,10,-113,"-1,057",-440,-292,-333,8,-16
,강북구,-511,-145,-238,-146,18,338,-422,-53,-207,-187,25,"-4,562",18,200,-129,-90,37,298,-997,-636,-173,-215,27,-54,-679,-175,-177,-334,7,-54
,도봉구,-389,-103,-219,-100,33,170,111,270,-51,-140,32,"-1,236",50,404,-190,-197,33,-495,-677,-350,-198,-138,9,172,"-1,018",-599,-226,-203,10,79
,노원구,533,"1,277",-338,-446,40,246,-396,38,-263,-239,68,221,328,624,-225,-104,33,-155,-478,32,-312,-246,48,-86,"-1,155",-562,-292,-293,-8,200
,은평구,"2,789","3,247",-244,-252,38,516,"1,239","1,776",-314,-245,22,"-1,955",178,606,-243,-203,18,176,"1,578","1,963",-297,-112,24,250,"-1,111",-584,-232,-308,13,407
,서대문구,"1,541","1,874",-182,-164,13,301,-143,184,-233,-160,66,"-1,803","2,427","2,626",-31,-41,-127,368,-212,149,-196,-182,17,66,-557,-231,-145,-180,-1,91
,마포구,"1,069","1,527",-377,-144,63,418,"1,870","1,956",-111,-21,46,132,"1,165",959,-119,29,296,"-3,640",-472,-331,-161,-109,129,687,-797,-292,-180,-294,-31,-32
,양천구,"2,268","2,884",-225,-419,28,"-2,995",-375,137,-330,-246,64,"-2,961",417,655,-195,-79,36,-124,-479,21,-209,-301,10,19,"-1,072",-478,-225,-361,-8,84
,강서구,-97,577,-424,-321,71,575,"2,106","2,346",-549,206,103,"-1,085",-248,-324,-308,330,54,244,"-1,504",-610,-334,-599,39,107,"-2,047","-1,161",-327,-594,35,387
,구로구,906,"1,390",-388,-155,59,178,"1,373","1,916",-282,-269,8,-895,"2,679","2,791",-260,120,28,-19,"-1,041",-409,-319,-339,26,-50,"-2,569","-1,729",-404,-439,3,-22
,금천구,"1,497","1,853",-277,-111,32,358,"1,563","1,729",-227,-11,72,-563,"1,715","1,677",-160,179,19,"1,298",-248,109,-236,-136,15,977,"-1,524","-1,007",-266,-271,20,348
,영등포구,"3,861","4,138",-284,63,-56,869,-679,-154,-202,-283,-40,382,"-1,284",134,-295,"-1,008",-115,"-2,755",3,512,-170,-365,26,-694,"-1,127",-238,-321,-586,18,-29
,동작구,653,"1,021",-165,-194,-9,166,541,924,-180,-202,-1,237,-113,291,-136,-258,-10,"-1,788",212,570,-193,-157,-8,31,-412,34,-202,-221,-23,-111
,관악구,-509,92,-280,-349,28,783,-795,-317,-282,-223,27,"-3,844",738,951,-220,-14,21,360,-950,-588,-201,-189,28,18,"-1,452",-945,-236,-279,8,147
,서초구,"-2,235","-1,435",-284,-540,24,122,"-2,139","-1,462",-343,-375,41,-759,-502,22,-215,-314,5,-102,491,511,-176,125,31,308,-167,387,-133,-455,34,"1,106"
,강남구,602,"1,840",-503,-710,-25,"1,177","4,684","4,550",-327,405,56,"-2,299","9,965","9,429",-269,744,61,"1,174","5,654","5,735",-127,12,34,"-1,505","-2,303","-1,857",-149,-304,7,-16
,송파구,"4,591","1,734",-224,"2,980",101,-723,"3,185","3,470",-195,-216,126,-34,"-3,153","2,981",-124,"-6,090",80,"-1,103","-1,518",308,-321,"-1,535",30,-571,"-1,996",-767,-333,-940,44,114
,강동구,"6,877","7,066",-148,-119,78,475,-128,141,-49,-256,36,307,"1,803","1,942",-33,-120,14,-242,844,"1,263",-212,-224,17,200,"12,951","13,226",-267,-47,39,484
